shape_id,shape_pt_lat,shape_pt_lon,shape_dist_traveled,shape_pt_sequence
R1_1,9.98614182627972,76.2828663892096,1.54,14
R1_1,9.986300916629386,76.28328638730667,1.59,15
R1_1,9.986690687657338,76.28420311392236,1.7,16
R1_1,9.987199775643736,76.28493811059225,1.8,17
R1_1,9.987462273825471,76.28523695539208,1.84,18
R1_1,9.98783613450657,76.28557618462433,1.9,19
R1_1,9.988297493903806,76.28595579828898,1.97,20
R1_1,9.989530433909946,76.2866665642994,2.13,21
R1_1,9.990707688393123,76.28752271426649,2.29,22
R1_1,9.990858822105993,76.28769232888261,2.32,23
R1_1,9.9914,76.2884,2.42,24
R1_1,9.991837212337712,76.28896847694678,2.5,25
R1_1,9.992680375541934,76.28986904978954,2.64,26
R1_1,9.9943,76.2914,2.89,27
R1_1,9.995416663709888,76.2926030758637,3.07,28
R1_1,9.996601851146377,76.29422653004659,3.29,29
R1_1,9.997333642573508,76.29517960265149,3.42,30
R1_1,9.998741541011,76.29686767192622,3.66,31
R1_1,9.999529006968833,76.29778843698517,3.79,32
R1_1,10.0002,76.2989,3.93,33
R1_1,10.000913033421826,76.29998131166504,4.07,34
R1_1,10.001119841466005,76.300449771081,4.13,35
R1_1,10.001517548873277,76.30243668515558,4.35,36
R1_1,10.001714255322778,76.30317616582411,4.43,37
R1_1,10.001932011200497,76.30354469308054,4.48,38
R1_1,10.003369196332768,76.30470923921088,4.68,39
R1_1,10.004530553410598,76.30510724864781,4.82,40
R1_1,10.005038645826346,76.30510724864781,4.88,41
R1_1,10.0064,76.3048,5.04,42
R1_1,10.009625958503708,76.30358891635133,5.42,43
R1_1,10.014300305372988,76.30220325386713,5.96,44
R1_1,10.0152,76.3023,6.06,45
R1_1,10.016332609096933,76.30238014695023,6.19,46
R1_1,10.016942297731514,76.30276341529691,6.27,47
R1_1,10.018132638905785,76.30376580943441,6.44,48
R1_1,10.01943910589762,76.30497457883551,6.64,49
R1_1,10.0251,76.3083,7.37,50
R1_1,10.02640338182592,76.30900836841036,7.53,51
R1_1,10.032534864816691,76.3126184927784,8.32,52
R1_1,10.0361,76.3144,8.76,53
R1_1,10.04068825279645,76.31633625846933,9.31,54
R1_1,10.0467,76.3182,10.01,55
R1_1,10.05109167753654,76.31950339739313,10.52,56
R1_1,10.053064703089197,76.32024860655166,10.75,57
R1_1,10.055135551663975,76.3212132384069,11.0,58
R1_1,10.057630335864618,76.32161068329144,11.28,59
R1_1,10.0586,76.322,11.4,60
R1_1,10.059375042778887,76.32227309143236,11.49,61
R1_1,10.060646879263217,76.32276989753807,11.64,62
R1_1,10.061429545379392,76.32339918527194,11.75,63
R1_1,10.062277431531228,76.32445903829742,11.9,64
R1_1,10.063223148073885,76.32591633620746,12.09,65
R1_1,10.064397137169466,76.32697618923294,12.26,66
R1_1,10.06583200693271,76.32796980144431,12.45,67
R1_1,10.067678577099308,76.32899860408818,12.68,68
R1_1,10.068216648537405,76.32944365955788,12.76,69
R1_1,10.06892184686672,76.33007294729175,12.86,70
R1_1,10.069822704918261,76.33098996856185,13.0,71
R1_1,10.07144505832319,76.33263149873608,13.25,72
R1_1,10.0727,76.3336,13.43,73
R1_1,10.073430188198621,76.33426992387216,13.54,74
R1_1,10.07491800853431,76.33575827216379,13.77,75
