stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0804920,50887,Union City Blvd:Past Pepsi Plant,,  37.6130255,-122.0855345,,,0,
0804930,58874,W A St:Hesperian Blvd,,  37.6656577,-122.1170392,,,0,
0804940,53363,W A St:Royal Av,,  37.6658947,-122.1128233,,,0,
0804950,53357,W A St:Victory Dr,,  37.6660184,-122.1105399,,,0,
0804970,51060,W Tennyson Rd:Bahama Av,,  37.6287786,-122.1018857,,,0,
0804980,54653,W Tennyson Rd:Bahama Av,,  37.6289023,-122.1021473,,,0,
0804990,51002,W Tennyson Rd:Baldwin St,,  37.6327708,-122.0670406,,,0,
0805000,51090,W Tennyson Rd:Baldwin St,,  37.6325963,-122.0667697,,,0,
0805010,52299,W Tennyson Rd:Calaroga Av (St. Rose Hospital),,  37.6315115,-122.0892494,,,0,
0805020,52001,W Tennyson Rd:Calaroga Av (St. Rose Hospital),,  37.6318094,-122.0903105,,,0,
0805030,58458,W Tennyson Rd:Dickens Av,,  37.6312139,-122.0737808,,,0,
0805040,59119,W Tennyson Rd:Dickens Av,,  37.6314212,-122.0742216,,,0,
0805050,52444,W Tennyson Rd:Hesperian Blvd (Kaiser Hospital),,  37.6309999,-122.0960618,,,0,
0805060,55671,W Tennyson Rd:Hesperian Blvd,,  37.6307049,-122.0975503,,,0,
0805070,57676,W Tennyson Rd:Huntwood Av,,  37.6334993,-122.0653869,,,0,
0805080,55672,W Tennyson Rd:Lustig Ct,,  37.6337892,-122.0641209,,,0,
0805090,56645,W Tennyson Rd:Pompano Av,,  37.6314899,-122.0778505,,,0,
0805100,56651,W Tennyson Rd:Pompano Av,,  37.6312124,-122.0772116,,,0,
0805110,59960,W Tennyson Rd:Portsmouth Av,,  37.6270832,-122.1047892,,,0,
0805120,53234,W Tennyson Rd:Portsmouth Av,,  37.6271343,-122.1050977,,,0,
0805130,56595,W Tennyson Rd:Ruus Rd,,  37.6317946,-122.0695979,,,0,
0805140,57002,W Tennyson Rd:Ruus Rd,,  37.6318154,-122.0685587,,,0,
0805150,55199,W Winton Av:Amador St,,  37.6586851,-122.0958750,,,0,
0805160,52733,W Winton Av:Cabot Blvd,,  37.6526303,-122.1381293,,,0,
0805170,52710,W Winton Av:Corsair Blvd,,  37.6531504,-122.1242288,,,0,
0805180,57003,W Winton Av:Corsair Blvd,,  37.6529490,-122.1240253,,,0,
0805190,53223,W Winton Av:D St,,  37.6620193,-122.0875418,,,0,
0805200,55225,W Winton Av:Edloe Dr (County Building),,  37.6584556,-122.0958869,,,0,
0805210,56635,W Winton Av:Park St,,  37.6616812,-122.0882908,,,0,
0805220,50558,W Winton Av:Saklan Rd,,  37.6530046,-122.1177442,,,0,
0805230,50880,W Winton Av:Santa Clara St,,  37.6578801,-122.0980041,,,0,
0805250,56866,W Winton Av:Santa Clara St,,  37.6577531,-122.0977480,,,0,
0805260,56330,W Winton Av:Wright Dr,,  37.6537791,-122.1087171,,,0,
0805270,55673,W Winton Av:Wright Dr,,  37.6533541,-122.1091506,,,0,
0805280,58777,West Loop Rd:CSU East Bay Library,,  37.6559007,-122.0573481,,,0,
0805300,51650,West Loop Rd:Carlos Bee Blvd,,  37.6588875,-122.0596312,,,0,
0805310,54478,Whipple Rd:Amaral St,,  37.6059338,-122.0578705,,,0,
0805320,51003,Whipple Rd:Huntwood Av,,  37.6061841,-122.0552857,,,0,
0805330,56620,Whipple Rd:Industrial Pkwy Sw,,  37.6070015,-122.0640448,,,0,
0805340,52201,Whipple Rd:Wiegman Rd,,  37.6065943,-122.0612780,,,0,
0805380,54745,Whitman St:Berry Av,,  37.6559555,-122.0747083,,,0,
0805390,57454,Whitman St:Berry Av,,  37.6561873,-122.0746661,,,0,
0805410,51887,Whitman St:Cody Rd,,  37.6531375,-122.0722754,,,0,
0805420,53250,Whitman St:Cody Rd,,  37.6529963,-122.0723348,,,0,
0805470,55029,Whitman St:Jane Av,,  37.6511246,-122.0709122,,,0,
0805480,54489,Whitman St:Jane Av,,  37.6512789,-122.0708897,,,0,
0805520,54234,Whitman St:Sycamore Av,,  37.6618596,-122.0791446,,,0,
0805600,54370,E St:2nd St,,  37.6721278,-122.0753741,,,0,
0805610,53676,East Av:E St,,  37.6729066,-122.0722577,,,0,
0805620,56443,East Av:Hayward High School,,  37.6725310,-122.0691270,,,0,
0805630,53710,2nd St:Bland St,,  37.6672004,-122.0579036,,,0,
0805640,56076,2nd St:Panitz Way,,  37.6675173,-122.0562995,,,0,
0805650,56086,E St:2nd St,,  37.6720407,-122.0758294,,,0,
0805730,59944,Hesperian Blvd:W Winton Av,,  37.6538930,-122.1105584,,,0,
0805780,57009,Tennyson Rd:Oliver Dr,,  37.6292604,-122.1005962,,,0,
0805820,53819,Meekland Av:A St,,  37.6670282,-122.0990461,,,0,
0805830,56185,Meekland Av:A St,,  37.6669499,-122.0991439,,,0,
0805860,57151,Mission Blvd:Industrial Pkwy,,  37.6292290,-122.0467268,,,0,
0805890,55061,Whitman St:Sycamore Av,,  37.6617113,-122.0792520,,,0,
0805900,54412,Tennyson Rd:Oliver Dr,,  37.6296308,-122.1002800,,,0,
0805930,56276,Depot Rd:Clawiter Rd,,  37.6386848,-122.1200983,,,0,
0805950,50350,Campus Dr:Hayward Blvd,,  37.6606459,-122.0579639,,,0,
0805960,53711,Gading Rd:Huntwood Way,,  37.6479101,-122.0812975,,,0,
0805970,54423,Hesperian Blvd:Industrial Blvd,,  37.6158639,-122.0877279,,,0,
0805980,50238,Chabot College,,  37.6434062,-122.1050452,,,0,place_CHCO
0805990,50239,Chabot College,,  37.6432044,-122.1051253,,,0,place_CHCO
0806000,50143,Hesperian Blvd:Turner Ct,,  37.6445281,-122.1052301,,,0,place_CHCO
0806030,50172,Hayward Blvd:Skyline Dr,,  37.6540806,-122.0258904,,,0,
0806100,50464,Hesperian Blvd:La Playa Dr,,  37.6470280,-122.1067868,,,0,
0806110,50527,Hayward Blvd:Fairview Av,,  37.6543527,-122.0180456,,,0,
0900010,58678,Carter Av:Sycamore St,,  37.5283575,-122.0369720,,,0,
0900020,56376,Carter Av:Sycamore St,,  37.5280680,-122.0368820,,,0,
0900030,52224,Cedar Blvd:Balentine Dr (Newark Memorial H. Sch.),,  37.5222694,-121.9996284,,,0,
0900040,53112,Cedar Blvd:Balentine Dr,,  37.5220165,-121.9998588,,,0,
0900050,56186,Cedar Blvd:Birch St,,  37.5272260,-122.0088880,,,0,
0900060,52887,Cedar Blvd:Birch St,,  37.5273800,-122.0085210,,,0,
0900070,55679,Cedar Blvd:Central Av,,  37.5368107,-122.0182767,,,0,
0900080,56976,Cedar Blvd:Central Av,,  37.5366730,-122.0185410,,,0,
0900090,57116,Cedar Blvd:Chapman Dr,,  37.5491890,-122.0435602,,,0,
0900100,55062,Cedar Blvd:Chapman Dr,,  37.5496139,-122.0425705,,,0,
0900110,53953,Cedar Blvd:Civic Terrace Av,,  37.5413198,-122.0248795,,,0,
0900120,57121,Cedar Blvd:Dupont Av,,  37.5463240,-122.0300286,,,0,
0900130,56670,Cedar Blvd:Edgewater Dr,,  37.5482402,-122.0324105,,,0,
0900140,55063,Cedar Blvd:Edgewater Dr,,  37.5486627,-122.0326730,,,0,
0900160,53887,Cedar Blvd:Forbes Dr,,  37.5393312,-122.0213784,,,0,
0900170,59511,Cedar Blvd:Joaquin Murieta Av,,  37.5207729,-121.9962523,,,0,
0900180,57011,Cedar Blvd:Joaquin Murieta Av,,  37.5202253,-121.9957501,,,0,
0900190,52344,Cedar Blvd:Lake Blvd,,  37.5503815,-122.0370059,,,0,
0900200,58567,Cedar Blvd:Lake Blvd,,  37.5503345,-122.0360973,,,0,
0900210,57232,Cedar Blvd:Moores Av,,  37.5316630,-122.0086600,,,0,
