stop_id,stop_name,stop_lat,stop_lon,stop_desc
INDUS1,Industrial Estate,17.45002,78.55202,
ISNAP1,Isnapur X Road,17.54696,78.21275,
ITMRB1,ITMR Blood Bank,17.42137,78.44898,
JAIJA1,Jai Jawan Colony,17.49051,78.57282,
JEEDI1,Jeedimetla Bus Depot,17.52781,78.43992,
JEEDI2,Jeedimetla Substation,17.52264,78.44378,
JEEDI3,Jeedimetla Substation,17.52249,78.44365,
JEEDI4,Jeedimetla,17.52671,78.43992,
JEEDI5,Jeedimetla Village Bus Stop,17.50886,78.47926,
JEEDI6,Jeedimetla Deewan Dhaba,17.50808,78.47945,
JNTU01,JNTU,17.49636,78.39541,
JNTU02,JNTU,17.49656,78.39416,
JNTU03,JNTU,17.49523,78.39443,jntu to
JNTUB1,JNTU Bus Stop,17.49656,78.39433,
JRCOL1,Jr college,17.49934,78.30345,jr.college  to words keerthi mahal
JUNIO1,Junior College,17.49295,78.31051,junior college to words church
JYOTH1,Jyothi Nagar,17.50164,78.31194,
JYOTH2,Jyothi Nagar,17.50209,78.31207,
KACHI1,Kachiguda X Road,17.39053,78.48899,
KANDL1,Kandlakoya Bus Stop,17.59172,78.49279,
KANDL2,Kandlakoya Bus Stop,17.5913,78.49309,
KAPRA1,Kapra,17.48669,78.56659,
KAPRA2,Kapra Circle,17.48645,78.56637,
KATTA1,Katta Maisamma,17.54861,78.43282,
KATTA2,Katta Maisamma,17.5481,78.43287,
KHAIR1,Khairatabad RTA Bus Stop,17.41634,78.45759,
KHAIR2,Khairatabad Bus Stop,17.41282,78.4605,
KHAIR3,Khairtabad,17.41264,78.46053,
KHAIR4,Khairatabad RTA,17.41629,78.45771,
KHAIR5,Khairatabad,17.41364,78.46022,khaithabad
KHAIR6,Khairtabad,17.41357,78.46015,
KOMPA1,Kompaly Bus Stand,17.53105,78.48767,
KOMPA2,Kompally Bridge,17.56442,78.49345,
KOMPA3,Kompally,17.53095,78.48788,
KOMPA4,Kompally Bus Stop,17.53095,78.48788,
KOTI01,Koti,17.38232,78.48103,
KOTI02,Koti,17.38184,78.48185,to waards  m market
KOTIB1,Koti Bus Terminal,17.38443,78.48443,
KOTIB2,Koti Bus Stop,17.38335,78.48302,
KOTIB3,Koti Bus Terminus,17.38447,78.48451,"Esamiya Bazaar, Koti, Hyderabad"
KOTIB4,Koti Bus Terminal,17.38437,78.48435,"Esamiya Bazaar, Koti, Hyderabad"
KOTIW1,Koti Womens College,17.38495,78.48771,
KOTIW2,Koti Womens College,17.38487,78.48762,
KPHB31,KPHB 3rd Phase Colony,17.48778,78.3954,
KPHB41,KPHB 4th Phase,17.47224,78.38808,
KPHB71,KPHB 7th Phase,17.47508,78.38899,
KPHB72,KPHB 7th Phase,17.4749,78.38851,
KPHBC1,KPHB Circle,17.48458,78.39025,
KPHBM1,K.P.H.B Main Road Bus Stop,17.49409,78.40045,
KPHBM2,K.P.H.B Main Road Bus Stop,17.49476,78.40037,
KPHBM3,K.P.H.B Main Road Bus Stop,17.49478,78.4002,
KPHBM4,K.P.H.B Main Road Bus Stop,17.49416,78.40066,
KPHBM5,K.P.H.B Main Road,17.49409,78.40045,
KPHBM6,K.P.H.B Main Road,17.49476,78.40037,
KPHBM7,K.P.H.B Main Road,17.49272,78.40225,kphb main road towards temple stop
KPHBV1,KPHB Vishwanth Theater Bus Stop,17.49521,78.39904,
KPHBV2,KPHB Vishwanth Theater,17.49609,78.39723,
KUKAT1,Kukatpally Bus Depot,17.4733,78.42492,
KUKAT10,Kukatpally Bus Depot,17.48353,78.41282,
KUKAT11,Kukatpally Bus Stop,17.48457,78.41178,
KUKAT12,Kukatpally,17.48386,78.41242,
