route_id,service_id,direction_id,trip_id
219,ALL,0,219_1950_0
219,ALL,0,219_1955_0
219,ALL,0,219_2005_0
219,ALL,0,219_2010_0
219,ALL,0,219_2020_0
219,ALL,0,219_2031_0
219,ALL,0,219_2035_0
219,ALL,0,219_2040_0
219,ALL,0,219_2045_0
219,ALL,0,219_2056_0
219,ALL,0,219_2100_0
219,ALL,0,219_2105_0
219,ALL,0,219_2110_0
219,ALL,0,219_2115_0
219,ALL,0,219_2125_0
219,ALL,0,219_2140_0
219,ALL,0,219_2155_0
219,ALL,0,219_2205_0
219,ALL,0,219_2225_0
219,ALL,0,219_2235_0
219,ALL,0,219_2240_0
219,ALL,0,219_2530_0
219,ALL,0,219_2545_0
219,ALL,1,219_0401_1
219,ALL,1,219_0808_1
219,ALL,1,219_0815_1
219,ALL,1,219_0830_1
219,ALL,1,219_0840_1
219,ALL,1,219_0845_1
219,ALL,1,219_0900_1
219,ALL,1,219_0905_1
219,ALL,1,219_0908_1
219,ALL,1,219_1358_1
219,ALL,1,219_1600_1
219,ALL,1,219_1615_1
219,ALL,1,219_1623_1
225,ALL,0,225_0407_0
225,ALL,0,225_0423_0
225,ALL,0,225_0439_0
225,ALL,0,225_0455_0
225,ALL,0,225_0511_0
225,ALL,0,225_0527_0
225,ALL,0,225_0543_0
225,ALL,0,225_0559_0
225,ALL,0,225_0615_0
225,ALL,0,225_0631_0
225,ALL,0,225_0647_0
225,ALL,0,225_0703_0
225,ALL,0,225_0719_0
225,ALL,0,225_0735_0
225,ALL,0,225_0751_0
225,ALL,0,225_0807_0
225,ALL,0,225_0819_0
225,ALL,0,225_0831_0
225,ALL,0,225_0843_0
225,ALL,0,225_0855_0
225,ALL,0,225_0907_0
225,ALL,0,225_0919_0
225,ALL,0,225_0943_0
225,ALL,0,225_0955_0
225,ALL,0,225_1007_0
225,ALL,0,225_1019_0
225,ALL,0,225_1031_0
225,ALL,0,225_1043_0
225,ALL,0,225_1055_0
225,ALL,0,225_1107_0
225,ALL,0,225_1123_0
225,ALL,0,225_1139_0
225,ALL,0,225_1155_0
225,ALL,0,225_1211_0
225,ALL,0,225_1227_0
225,ALL,0,225_1243_0
225,ALL,0,225_1259_0
225,ALL,0,225_1315_0
225,ALL,0,225_1331_0
225,ALL,0,225_1347_0
225,ALL,0,225_1403_0
225,ALL,0,225_1419_0
225,ALL,0,225_1435_0
225,ALL,0,225_1451_0
225,ALL,0,225_1507_0
225,ALL,0,225_1523_0
225,ALL,0,225_1539_0
225,ALL,0,225_1555_0
225,ALL,0,225_1611_0
225,ALL,0,225_1627_0
225,ALL,0,225_1643_0
225,ALL,0,225_1659_0
225,ALL,0,225_1715_0
225,ALL,0,225_1727_0
225,ALL,0,225_1739_0
225,ALL,0,225_1751_0
225,ALL,0,225_1803_0
225,ALL,0,225_1815_0
225,ALL,0,225_1827_0
225,ALL,0,225_1839_0
225,ALL,0,225_1851_0
225,ALL,0,225_1903_0
225,ALL,0,225_1915_0
225,ALL,0,225_1927_0
225,ALL,0,225_1939_0
225,ALL,0,225_1951_0
225,ALL,0,225_2003_0
225,ALL,0,225_2019_0
225,ALL,0,225_2035_0
225,ALL,0,225_2051_0
225,ALL,0,225_2107_0
225,ALL,0,225_2123_0
225,ALL,0,225_2139_0
225,ALL,0,225_2155_0
225,ALL,0,225_2211_0
225,ALL,0,225_2227_0
225,ALL,0,225_2243_0
225,ALL,0,225_2259_0
225,ALL,0,225_2403_0
225,ALL,0,225_2420_0
225,ALL,0,225_2735_0
225,ALL,0,225_2751_0
225,ALL,1,225_0520_1
225,ALL,1,225_0536_1
225,ALL,1,225_0552_1
225,ALL,1,225_0608_1
225,ALL,1,225_0624_1
225,ALL,1,225_0640_1
225,ALL,1,225_0656_1
225,ALL,1,225_0712_1
225,ALL,1,225_0728_1
225,ALL,1,225_0744_1
225,ALL,1,225_0800_1
225,ALL,1,225_0812_1
225,ALL,1,225_0824_1
225,ALL,1,225_0836_1
225,ALL,1,225_0848_1
225,ALL,1,225_0900_1
225,ALL,1,225_0912_1
225,ALL,1,225_0936_1
