route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible
R001,SU,R001SUL104727,Aluva,1,7,R001_1,1
R001,SU,R001SUR112336,Maharaja College,0,7,R001_0,1
R001,SU,R001SUL115842,Aluva,1,7,R001_1,1
R001,SU,R001SUR123341,Maharaja College,0,7,R001_0,1
R001,SU,R001SUL130842,Aluva,1,7,R001_1,1
R001,SU,R001SUR134341,Maharaja College,0,7,R001_0,1
R001,SU,R001SUL141842,Aluva,1,7,R001_1,1
R001,SU,R001SUR145341,Maharaja College,0,7,R001_0,1
R001,SU,R001SUL152842,Aluva,1,7,R001_1,1
R001,SU,R001SUR160341,Maharaja College,0,7,R001_0,1
R001,SU,R001SUL163842,Aluva,1,7,R001_1,1
R001,SU,R001SUR171341,Maharaja College,0,7,R001_0,1
R001,SU,R001SUL174842,Aluva,1,7,R001_1,1
R001,SU,R001SUR182341,Maharaja College,0,7,R001_0,1
R001,SU,R001SUL185842,Aluva,1,7,R001_1,1
R001,SU,R001SUR193341,Maharaja College,0,7,R001_0,1
R001,SU,R001SUL201039,Aluva,1,7,R001_1,1
R001,SU,R001SUR204526,Maharaja College,0,7,R001_0,1
R001,SU,R001SUL212037,Aluva,1,7,R001_1,1
R001,SU,R001SUR215607,Maharaja College,0,7,R001_0,1
R001,SU,R001SUR104855,Maharaja College,0,8,R001_0,1
R001,SU,R001SUL112342,Aluva,1,8,R001_1,1
R001,SU,R001SUR115841,Maharaja College,0,8,R001_0,1
R001,SU,R001SUL123342,Aluva,1,8,R001_1,1
R001,SU,R001SUR130841,Maharaja College,0,8,R001_0,1
R001,SU,R001SUL134342,Aluva,1,8,R001_1,1
R001,SU,R001SUR141841,Maharaja College,0,8,R001_0,1
R001,SU,R001SUL145342,Aluva,1,8,R001_1,1
R001,SU,R001SUR152841,Maharaja College,0,8,R001_0,1
R001,SU,R001SUL160342,Aluva,1,8,R001_1,1
R001,SU,R001SUR163841,Maharaja College,0,8,R001_0,1
R001,SU,R001SUL171342,Aluva,1,8,R001_1,1
R001,SU,R001SUR174841,Maharaja College,0,8,R001_0,1
R001,SU,R001SUL182342,Aluva,1,8,R001_1,1
R001,SU,R001SUR185841,Maharaja College,0,8,R001_0,1
R001,SU,R001SUL193342,Aluva,1,8,R001_1,1
R001,SU,R001SUR200801,Maharaja College,0,8,R001_0,1
R001,SU,R001SUL204306,Aluva,1,8,R001_1,1
R001,SU,R001SUR211222,Maharaja College,0,8,R001_0,1
R001,SU,R001SUL214826,Aluva,1,8,R001_1,1
